City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yellowknife,62.456,-114.3525,292.44,48,40,1.54,CA,1691256313
84,port mathurin,-19.6833,63.4167,295.76,76,40,10.87,MU,1691256346
85,serro,-18.6047,-43.3794,302.1,23,39,2.25,BR,1691256346
86,walvis bay,-22.9575,14.5053,288.68,77,1,2.06,NA,1691256346
87,puerto baquerizo moreno,-0.9,-89.6,299.7,78,75,6.69,EC,1691256147
88,sarbogard,46.8869,18.6204,292.2,95,88,6.16,HU,1691256347
89,hammerfest,70.6634,23.6821,285.4,82,75,5.14,NO,1691256347
90,thompson,55.7435,-97.8558,292.24,77,75,4.12,CA,1691256347
91,taulaga,-11.0553,-171.0883,300.75,79,91,6.19,AS,1691256348
92,fada,9.5667,8.3,296.27,91,90,2.0,NG,1691256348
93,cole harbour,44.6724,-63.4751,295.47,92,100,3.58,CA,1691256348
94,aoulef,26.9667,1.0833,320.39,5,0,5.19,DZ,1691256348
95,brookings,44.3114,-96.7984,296.69,95,100,8.75,US,1691256349
96,yuzhno-kurilsk,44.0306,145.8556,285.95,96,100,5.01,RU,1691256349
97,virginia beach,36.8529,-75.978,303.18,79,75,3.6,US,1691256239
98,eyl,7.9803,49.8164,298.83,76,53,12.93,SO,1691256349
99,kapa'a,22.0752,-159.319,300.33,86,75,4.63,US,1691256351
100,tofol,5.3248,163.0078,300.78,75,34,2.29,FM,1691256351
101,avarua,-21.2078,-159.775,295.18,78,20,3.09,CK,1691256142
102,dunedin,-45.8742,170.5036,280.82,72,87,4.02,NZ,1691256107
103,al hufuf,25.3646,49.5653,311.34,28,0,2.57,SA,1691256352
104,caibarien,22.5206,-79.4669,307.77,61,0,4.08,CU,1691256352
105,hawaiian paradise park,19.5933,-154.9731,295.39,90,40,2.57,US,1691256352
106,stanley,54.868,-1.6985,286.55,83,40,5.14,GB,1691256352
107,gaiman,-43.2897,-65.4929,287.26,28,41,7.28,AR,1691256353
108,saint-pierre,-21.3393,55.4781,294.97,78,0,10.29,RE,1691256353
109,skovorodino,53.9833,123.9167,285.96,63,13,1.22,RU,1691256353
110,acarau,-2.8856,-40.12,304.17,55,88,8.44,BR,1691256353
111,praia,14.9215,-23.5087,303.45,58,0,7.72,CV,1691256354
112,la passe,45.5549,-0.8967,293.28,70,85,9.16,FR,1691256354
113,kodiak,57.79,-152.4072,284.88,94,100,0.0,US,1691256354
114,monrovia,6.3005,-10.7969,298.02,81,61,6.19,LR,1691256355
115,jumla,29.2747,82.1838,291.52,99,100,0.63,NP,1691256355
116,vostochnyy,55.8167,37.8667,300.25,56,9,0.87,RU,1691256355
117,turpan,42.9333,89.1667,310.68,16,46,2.54,CN,1691256356
118,ribeira grande,38.5167,-28.7,298.37,69,40,6.69,PT,1691256356
119,alice springs,-23.7,133.8833,283.9,76,0,3.6,AU,1691256356
120,prado,-17.3411,-39.2208,298.11,55,0,3.25,BR,1691256356
121,sheoganj,25.15,73.0667,300.91,74,100,4.29,IN,1691256357
122,parry sound,45.3501,-80.033,296.18,40,36,2.58,CA,1691256357
123,port moresby,-9.4431,147.1797,294.54,85,80,4.26,PG,1691256357
124,chonchi,-42.6128,-73.8092,283.77,73,34,2.03,CL,1691256358
125,gamay,12.3854,125.2979,300.34,78,8,4.31,PH,1691256358
126,nar'yan-mar,67.6713,53.087,295.06,72,89,3.6,RU,1691256358
127,port elizabeth,-33.918,25.5701,294.87,88,0,2.06,ZA,1691256358
128,kailua-kona,19.6406,-155.9956,299.13,82,20,1.54,US,1691256359
129,taltal,-25.4,-70.4833,290.8,68,9,2.8,CL,1691256359
130,boguchany,58.3814,97.4531,284.04,80,100,0.12,RU,1691256359
131,kasongo-lunda,-6.4667,16.8167,302.03,19,21,1.73,CD,1691256359
132,coquimbo,-29.9533,-71.3436,287.0,100,100,4.63,CL,1691256360
133,dogondoutchi,13.6393,4.0287,307.24,44,77,5.92,NE,1691256360
134,pisco,-13.7,-76.2167,294.18,68,20,4.12,PE,1691256271
135,luderitz,-26.6481,15.1594,288.88,66,13,2.8,NA,1691256360
136,st. john's,47.5649,-52.7093,292.9,72,75,6.17,CA,1691256340
137,monte carmelo,-18.7247,-47.4986,303.24,15,8,3.31,BR,1691256361
138,kingston,17.997,-76.7936,307.73,64,20,12.35,JM,1691256087
139,san felipe,10.3399,-68.7425,306.63,42,47,2.34,VE,1691256361
140,lata,40.1629,-8.3327,301.75,42,0,3.76,PT,1691256362
141,quellon,-43.1167,-73.6167,282.29,81,100,2.06,CL,1691256362
142,fale old settlement,-9.3852,-171.2468,300.94,79,26,5.75,TK,1691256362
143,bredasdorp,-34.5322,20.0403,283.68,91,84,1.84,ZA,1691256362
